Product_Names,Original_price,Discounted_price,Description,Ratings,Image_links,URL,Ram,brand,Color
"POCO X5 5G (Supernova Green, 256 GB)","23,999","14,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/0/-original-imagnqpnhtwr8chu.jpeg?q=70,https://www.flipkart.com/poco-x5-5g-supernova-green-256-gb/p/itm275923a52e6c2?pid=MOBGNBFBABFZR3UR&lid=LSTMOBGNBFBABFZR3URHDBBIS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nr4Y80kbwMX-_0HclyWI_2ik8cGdGw-dhYZ_0OqikUZVA%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Green
"POCO X5 5G (Wildcat Blue, 256 GB)","23,999","14,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/e/l/-original-imagnqpndcmxghyq.jpeg?q=70,https://www.flipkart.com/poco-x5-5g-wildcat-blue-256-gb/p/itme100b90984aad?pid=MOBGNBFBUJCBTPUB&lid=LSTMOBGNBFBUJCBTPUBQ0ER9D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nqGx9RLzyuNVP0hqS50k5ToCZ6eGpOCd65t-zDOY4rGdA%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Blue
"APPLE iPhone 14 (Blue, 128 GB)","69,900","56,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWA3AV8J8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Blue
"APPLE iPhone 14 (Midnight, 128 GB)","69,900","57,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCXSSCYWA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHECFVMDCX.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Midnight
"APPLE iPhone 14 (Starlight, 128 GB)","69,900","56,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HCNASCL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Starlight
"APPLE iPhone 14 (Purple, 128 GB)","69,900","57,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-purple-128-gb/p/itm0b581eba85e08?pid=MOBGHWFHQFSQYBFU&lid=LSTMOBGHWFHQFSQYBFUUF0OWI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHQFSQYBFU.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Purple
"APPLE iPhone 14 Plus (Blue, 128 GB)","79,900","63,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-blue-128-gb/p/itmac8385391b02b?pid=MOBGHWFHUYWGB5F2&lid=LSTMOBGHWFHUYWGB5F24T4IJV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHUYWGB5F2.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Blue
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","25,999","18,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/v/2/-original-imagmkjfjwtzhaag.jpeg?q=70,https://www.flipkart.com/poco-x5-pro-5g-horizon-blue-128-gb/p/itm4cef23ac6a3f8?pid=MOBGMDKQBTFQUYDX&lid=LSTMOBGMDKQBTFQUYDX6TMHT4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_npgD_2MXpGLKcQP5NAwLEiKVvmtbP45dYJ-rHAekMq2fw%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,POCO,Blue
"APPLE iPhone 14 Plus (Starlight, 128 GB)","79,900","63,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYREG7ZLM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,APPLE,Starlight
"POCO C51 (Royal Blue, 64 GB)","9,999","5,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 64 GB,POCO,Blue
